WARNING 2019-05-21 13:50:56,743 - From C:\Users\David\AppData\Local\Programs\Python\Python37\lib\site-packages\tensorflow\python\framework\op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
INFO 2019-05-21 13:51:24,767 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2019-05-21 13:51:58,899 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 13:51:58,900 - data_uri wurde erfolgreich in variable geladen
INFO 2019-05-21 13:51:58,900 - make_prediction wurde aufgerufen
INFO 2019-05-21 13:51:58,903 - wurde erfolgreich konvertiert
INFO 2019-05-21 13:51:58,904 - image wurder erfolgreich geprocessed
INFO 2019-05-21 13:52:02,367 - 127.0.0.1 - - [21/May/2019 13:52:02] "[37mPOST / HTTP/1.1[0m" 200 -
INFO 2019-05-21 13:52:21,872 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 13:52:21,872 - data_uri wurde erfolgreich in variable geladen
INFO 2019-05-21 13:52:21,872 - make_prediction wurde aufgerufen
INFO 2019-05-21 13:52:21,875 - wurde erfolgreich konvertiert
INFO 2019-05-21 13:52:21,875 - image wurder erfolgreich geprocessed
INFO 2019-05-21 13:52:22,395 - 127.0.0.1 - - [21/May/2019 13:52:22] "[37mPOST / HTTP/1.1[0m" 200 -
INFO 2019-05-21 14:34:33,685 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 14:34:33,685 - 127.0.0.1 - - [21/May/2019 14:34:33] "[1m[31mPOST / HTTP/1.1[0m" 400 -
INFO 2019-05-21 14:35:51,794 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 14:35:51,794 - 127.0.0.1 - - [21/May/2019 14:35:51] "[1m[31mPOST / HTTP/1.1[0m" 400 -
INFO 2019-05-21 14:39:31,517 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 14:39:32,098 - data_uri wurde erfolgreich in variable geladen
INFO 2019-05-21 14:39:32,098 - make_prediction wurde aufgerufen
INFO 2019-05-21 14:39:32,454 - wurde erfolgreich konvertiert
INFO 2019-05-21 14:39:32,460 - image wurder erfolgreich geprocessed
INFO 2019-05-21 14:39:33,105 - 127.0.0.1 - - [21/May/2019 14:39:33] "[37mPOST / HTTP/1.1[0m" 200 -
INFO 2019-05-21 14:42:00,606 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 14:42:00,611 - data_uri wurde erfolgreich in variable geladen
INFO 2019-05-21 14:42:00,611 - make_prediction wurde aufgerufen
INFO 2019-05-21 14:42:00,614 - wurde erfolgreich konvertiert
INFO 2019-05-21 14:42:00,614 - image wurder erfolgreich geprocessed
INFO 2019-05-21 14:42:01,268 - 127.0.0.1 - - [21/May/2019 14:42:01] "[37mPOST / HTTP/1.1[0m" 200 -
INFO 2019-05-21 14:42:11,416 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 14:42:11,421 - data_uri wurde erfolgreich in variable geladen
INFO 2019-05-21 14:42:11,422 - make_prediction wurde aufgerufen
INFO 2019-05-21 14:42:11,425 - wurde erfolgreich konvertiert
INFO 2019-05-21 14:42:11,425 - image wurder erfolgreich geprocessed
INFO 2019-05-21 14:42:12,079 - 127.0.0.1 - - [21/May/2019 14:42:12] "[37mPOST / HTTP/1.1[0m" 200 -
INFO 2019-05-21 14:44:24,584 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 14:44:24,586 - data_uri wurde erfolgreich in variable geladen
INFO 2019-05-21 14:44:24,586 - make_prediction wurde aufgerufen
INFO 2019-05-21 14:44:24,590 - wurde erfolgreich konvertiert
INFO 2019-05-21 14:44:24,591 - image wurder erfolgreich geprocessed
INFO 2019-05-21 14:44:25,402 - 127.0.0.1 - - [21/May/2019 14:44:25] "[37mPOST / HTTP/1.1[0m" 200 -
INFO 2019-05-21 14:44:36,607 - POST methode wurde erfolgreich aufgerufen
INFO 2019-05-21 14:44:36,612 - data_uri wurde erfolgreich in variable geladen
INFO 2019-05-21 14:44:36,612 - make_prediction wurde aufgerufen
INFO 2019-05-21 14:44:36,615 - wurde erfolgreich konvertiert
INFO 2019-05-21 14:44:36,615 - image wurder erfolgreich geprocessed
