carModel;carPrice
Acura CL;29819
Acura ILX;30713
Acura ILX Hybrid;31750
Acura Integra;11769
Acura Legend;2144
Acura MDX;50332
Acura NSX;102400
Acura RDX;39233
Acura RL;51340
Acura RLX;56492
Acura RSX;21689
Acura SLX;2659
Acura TL;40877
Acura TLX;38730
Acura TSX;33284
Acura TSX Sport Wagon;33560
Acura Vigor;2000
Acura ZDX;51063
Alfa Romeo 4C;61600
Aston Martin DB7;151550
Aston Martin DB9;196523
Aston Martin DB9 GT;215602
Aston Martin DBS;281573
Aston Martin Rapide;210123
Aston Martin Rapide S;202748
Aston Martin V12 Vanquish;245880
Aston Martin V12 Vantage;187565
Aston Martin V12 Vantage S;188095
Aston Martin V8 Vantage;129535
Aston Martin Vanquish;297084
Aston Martin Virage;215795
Audi 100;2000
Audi 200;2000
Audi 80;2000
Audi 90;2000
Audi A3;38652
Audi A4;39752
Audi A4 allroad;47467
Audi A5;44300
Audi A6;54674
Audi A7;69895
Audi A8;94850
Audi allroad;44675
Audi allroad quattro;41944
Audi Cabriolet;2868
Audi Coupe;2000
Audi Q3;36293
Audi Q5;48255
Audi Q7;57373
Audi R8;158820
Audi RS 4;71603
Audi RS 5;74067
Audi RS 6;82700
Audi RS 7;108700
Audi S3;45092
Audi S4;52150
Audi S5;58183
Audi S6;73340
Audi S7;82050
Audi S8;115150
Audi SQ5;56850
Audi TT;43917
Audi TT RS;57025
Audi TTS;51200
Audi V8;2129
Bentley Arnage;246890
Bentley Azure;331657
Bentley Azure T;363000
Bentley Brooklands;340990
Bentley Continental;309597
Bentley Continental Flying Spur;183200
Bentley Continental Flying Spur Speed;208600
Bentley Continental GT;215979
Bentley Continental GT Speed;212350
Bentley Continental GT Speed Convertible;238700
Bentley Continental GT3-R;337000
Bentley Continental GTC;207817
Bentley Continental GTC Speed;233750
Bentley Continental Supersports;267000
Bentley Continental Supersports Convertible;280400
Bentley Flying Spur;206940
Bentley Mulsanne;310475
Bentley Supersports Convertible ISR;291900
BMW 1 Series;37853
BMW 1 Series M;46135
BMW 2 Series;41697
BMW 3 Series;40897
BMW 3 Series Gran Turismo;45250
BMW 4 Series;48984
BMW 4 Series Gran Coupe;44750
BMW 5 Series;58306
BMW 5 Series Gran Turismo;65740
BMW 6 Series;87933
BMW 6 Series Gran Coupe;86383
BMW 7 Series;90663
BMW 8 Series;6583
BMW ActiveHybrid 5;61800
BMW ActiveHybrid 7;84300
BMW ActiveHybrid X6;88900
BMW Alpina;136900
BMW ALPINA B6 Gran Coupe;120667
BMW ALPINA B7;132333
BMW i3;42700
BMW M;47314
